Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A14006_001,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,ACS21_5yr_B23008001,ACS21_5yr_B23008002,ACS21_5yr_B23008003,ACS21_5yr_B23008004,ACS21_5yr_B23008005,ACS21_5yr_B23008006,ACS21_5yr_B23008007,ACS21_5yr_B23008008,ACS21_5yr_B23008009,ACS21_5yr_B23008010,ACS21_5yr_B23008011,ACS21_5yr_B23008012,ACS21_5yr_B23008013,ACS21_5yr_B23008014,ACS21_5yr_B23008015,ACS21_5yr_B23008016,ACS21_5yr_B23008017,ACS21_5yr_B23008018,ACS21_5yr_B23008019,ACS21_5yr_B23008020,ACS21_5yr_B23008021,ACS21_5yr_B23008022,ACS21_5yr_B23008023,ACS21_5yr_B23008024,ACS21_5yr_B23008025,ACS21_5yr_B23008026,ACS21_5yr_B23008027,ACS21_5yr_B23008001s,ACS21_5yr_B23008002s,ACS21_5yr_B23008003s,ACS21_5yr_B23008004s,ACS21_5yr_B23008005s,ACS21_5yr_B23008006s,ACS21_5yr_B23008007s,ACS21_5yr_B23008008s,ACS21_5yr_B23008009s,ACS21_5yr_B23008010s,ACS21_5yr_B23008011s,ACS21_5yr_B23008012s,ACS21_5yr_B23008013s,ACS21_5yr_B23008014s,ACS21_5yr_B23008015s,ACS21_5yr_B23008016s,ACS21_5yr_B23008017s,ACS21_5yr_B23008018s,ACS21_5yr_B23008019s,ACS21_5yr_B23008020s,ACS21_5yr_B23008021s,ACS21_5yr_B23008022s,ACS21_5yr_B23008023s,ACS21_5yr_B23008024s,ACS21_5yr_B23008025s,ACS21_5yr_B23008026s,ACS21_5yr_B23008027s
"55001","State Senate District 1 (2018), Wisconsin","ACSSF","wi","610","00","0012862",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,"001",,,,,,,,,,,,,,,"61000US55001","State Senate District 1 (2018)",,,,99574,97042,2532,74000,182648,182648,170072,1177,938,3442,70,2021,4928,182648,176502,167356,1138,843,3371,63,343,3388,6146,2716,39,95,71,7,1678,1540,38854,11521,9520,6760,2586,140,34,2001,712,704,8,1289,947,342,27333,21103,16698,3595,648,162,6230,2214,2066,148,4016,3564,452,575.1515,244.2424,235.7576,167.8788,136.9697,71.51515,32.72727,171.5152,120.6061,119.3939,14.54545,124.8485,116.9697,42.42424,521.8182,453.9394,351.5151,295.7576,105.4545,52.12121,408.4849,209.0909,180.6061,101.8182,364.8485,350.303,107.2727
"55002","State Senate District 2 (2018), Wisconsin","ACSSF","wi","610","00","0012863",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,"002",,,,,,,,,,,,,,,"61000US55002","State Senate District 2 (2018)",,,,98157,95745,2412,71135,183254,183254,159902,2222,7787,2711,15,2865,7752,183254,175690,157221,2184,7036,2670,15,735,5829,7564,2681,38,751,41,0,2130,1923,38808,12393,8964,5988,2858,112,6,3429,1173,1165,8,2256,2061,195,26415,19577,15161,3500,822,94,6838,2316,1895,421,4522,4031,491,539.3939,360,334.5454,282.4243,239.3939,88.48485,51.51515,294.5454,226.0606,215.7576,50.30303,255.7576,238.1818,138.7879,510.9091,521.8182,532.7273,295.1515,187.8788,141.8182,494.5454,214.5455,191.5152,92.12122,429.0909,388.4849,201.2121
"55003","State Senate District 3 (2018), Wisconsin","ACSSF","wi","610","00","0012864",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,"003",,,,,,,,,,,,,,,"61000US55003","State Senate District 3 (2018)",,,,81411,76941,4470,46341,168323,168323,87754,12909,1812,7069,63,34580,24136,168323,80950,56670,11465,1077,6986,30,284,4438,87373,31084,1444,735,83,33,34296,19698,46459,14908,7795,3993,3098,494,210,7113,1410,1325,85,5703,4472,1231,31551,17895,9426,6445,999,1025,13656,2472,2291,181,11184,9130,2054,760,504.2424,436.9697,405.4546,258.7879,85.45454,53.93939,347.8788,203.6364,203.6364,13.33333,296.3636,252.7273,129.0909,641.8182,645.4545,609.0909,376.9697,112.7273,44.84848,711.5151,460,456.3636,46.66667,526.0606,507.8788,180
"55004","State Senate District 4 (2018), Wisconsin","ACSSF","wi","610","00","0012865",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,"004",,,,,,,,,,,,,,,"61000US55004","State Senate District 4 (2018)",,,,77029,71208,5821,43732,170394,170394,39688,110056,553,8261,178,4064,7594,170394,162286,37696,109423,476,8252,153,772,5514,8108,1992,633,77,9,25,3292,2080,46673,17128,3984,2225,1337,319,103,13144,2660,2398,262,10484,7577,2907,29545,9197,7024,1434,498,241,20348,3250,2761,489,17098,13582,3516,259.394,188.4848,210.9091,164.2424,187.2727,58.78788,61.21212,166.6667,130.303,121.8182,24.24242,133.9394,113.9394,69.69697,226.6667,346.6667,343.6364,229.0909,113.3333,170.303,315.7576,163.6364,159.3939,25.45455,274.5454,226.6667,138.1818
"55005","State Senate District 5 (2018), Wisconsin","ACSSF","wi","610","00","0012866",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,"005",,,,,,,,,,,,,,,"61000US55005","State Senate District 5 (2018)",,,,95940,93443,2497,80304,179371,179371,147310,8455,689,10414,41,2972,9490,179371,168085,141785,8145,529,10361,41,317,6907,11286,5525,310,160,53,0,2655,2583,36822,12561,9780,7136,2345,232,67,2781,782,699,83,1999,1683,316,24261,17575,13416,3366,695,98,6686,2088,1929,159,4598,4144,454,446.0606,309.697,322.4243,318.1818,181.2121,52.72727,13.33333,324.8485,247.2727,244.8485,69.09091,292.1212,289.0909,139.3939,378.7879,518.7879,523.6364,299.394,221.8182,20.60606,466.6667,290.303,272.1212,95.75758,396.3636,370.303,130.303
"55006","State Senate District 6 (2018), Wisconsin","ACSSF","wi","610","00","0012867",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,"006",,,,,,,,,,,,,,,"61000US55006","State Senate District 6 (2018)",,,,71350,66129,5221,36277,160439,160439,39024,100228,591,8029,41,3979,8547,160439,148563,35268,99011,481,7979,41,316,5467,11876,3756,1217,110,50,0,3663,3080,40770,13507,2647,1687,774,134,52,10860,1929,1561,368,8931,7022,1909,27263,6870,4699,1455,449,267,20393,2676,2012,664,17717,13754,3963,433.3333,392.1212,376.3636,363.0303,238.7879,73.33334,7.878788,300.606,155.7576,153.9394,57.57576,259.394,243.0303,93.33334,455.1515,611.5151,634.5455,272.7273,113.3333,73.93939,480,253.9394,250.303,60.60606,416.9697,360,186.0606
"55007","State Senate District 7 (2018), Wisconsin","ACSSF","wi","610","00","0012868",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,"007",,,,,,,,,,,,,,,"61000US55007","State Senate District 7 (2018)",,,,104237,100848,3389,64851,174051,174051,143769,7795,990,6372,18,5248,9859,174051,155528,134765,7385,794,6321,0,670,5593,18523,9004,410,196,51,18,4578,4266,25724,9060,6604,4712,1718,174,0,2456,606,577,29,1850,1703,147,16664,10588,7501,2463,559,65,6076,1442,1372,70,4634,4012,622,456.9697,338.7879,335.1515,314.5454,236.9697,52.12121,4.848485,268.4849,115.7576,111.5152,26.06061,242.4242,235.1515,54.54546,443.0303,550.9091,524.2424,372.7273,89.09091,55.75758,404.2424,220.6061,213.3333,38.18182,378.1818,374.5454,99.39394
"55008","State Senate District 8 (2018), Wisconsin","ACSSF","wi","610","00","0012869",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,"008",,,,,,,,,,,,,,,"61000US55008","State Senate District 8 (2018)",,,,97432,94985,2447,95048,181570,181570,153194,10632,341,7593,51,2028,7731,181570,174059,149917,10415,297,7568,51,227,5584,7511,3277,217,44,25,0,1801,2147,40774,11812,10589,7496,2331,561,201,1223,416,416,0,807,704,103,28962,21941,17235,4043,482,181,7021,2349,2172,177,4672,4200,472,647.8788,421.2121,386.0606,406.0606,312.7273,28.48485,31.51515,358.1818,204.8485,200.6061,31.51515,302.4243,295.7576,86.06061,570.9091,589.697,571.5151,339.394,125.4545,57.57576,435.7576,231.5152,233.9394,58.78788,370.303,352.1212,116.3636
"55009","State Senate District 9 (2018), Wisconsin","ACSSF","wi","610","00","0012870",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,"009",,,,,,,,,,,,,,,"61000US55009","State Senate District 9 (2018)",,,,91971,89483,2488,63641,175157,175157,154502,2908,574,8884,5,2273,6011,175157,164090,148323,2752,521,8870,5,154,3465,11067,6179,156,53,14,0,2119,2546,37890,11367,8315,6140,2012,144,19,3052,1098,1020,78,1954,1474,480,26523,18673,14951,3160,431,131,7850,2308,2073,235,5542,4748,794,616.9697,403.0303,362.4243,324.8485,299.394,88.48485,23.0303,357.5757,226.6667,170.9091,138.1818,310.303,318.7879,193.9394,600.6061,643.0303,610.303,340.606,127.2727,118.1818,649.697,376.3636,358.7879,148.4848,600,577.5757,243.0303
"55010","State Senate District 10 (2018), Wisconsin","ACSSF","wi","610","00","0012871",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,"010",,,,,,,,,,,,,,,"61000US55010","State Senate District 10 (2018)",,,,99877,96852,3025,75867,182218,182218,171373,1412,442,2426,38,1017,5510,182218,178024,169130,1361,382,2412,38,196,4505,4194,2243,51,60,14,0,821,1005,38010,10843,8359,6547,1594,199,19,2484,737,699,38,1747,1390,357,27167,19701,15824,3447,395,35,7466,3021,2841,180,4445,4063,382,343.6364,276.3636,311.5151,262.4243,222.4242,91.51515,43.63636,207.2727,131.5152,128.4848,19.39394,161.8182,158.1818,86.66666,350.9091,430.9091,456.9697,275.7576,110.9091,55.15152,315.7576,184.8485,181.8182,41.81818,275.7576,267.8788,118.1818
"55011","State Senate District 11 (2018), Wisconsin","ACSSF","wi","610","00","0012872",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,"011",,,,,,,,,,,,,,,"61000US55011","State Senate District 11 (2018)",,,,96441,92967,3474,75030,176837,176837,159908,1960,450,1264,37,5394,7824,176837,160070,152784,1822,269,1255,24,198,3718,16767,7124,138,181,9,13,5196,4106,36688,10138,7679,5675,1832,110,62,2459,925,866,59,1534,1351,183,26550,18851,14806,3195,639,211,7699,2456,2384,72,5243,4530,713,409.0909,330.9091,329.0909,340,236.9697,100,124.2424,219.3939,164.8485,163.6364,28.48485,170.9091,147.2727,95.15151,370.303,458.7879,446.0606,318.1818,107.8788,81.21212,372.1212,215.7576,197.5758,67.87878,347.2727,340.606,86.06061
"55012","State Senate District 12 (2018), Wisconsin","ACSSF","wi","610","00","0012873",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,"012",,,,,,,,,,,,,,,"61000US55012","State Senate District 12 (2018)",,,,81728,78294,3434,58745,174162,174162,160649,803,6344,593,13,662,5098,174162,170211,158467,767,5880,560,13,331,4193,3951,2182,36,464,33,0,331,905,30536,9115,6458,4374,1772,179,133,2657,895,796,99,1762,1330,432,21421,14692,10841,3108,608,135,6729,2119,1694,425,4610,3847,763,183.0303,158.7879,193.9394,189.697,132.1212,40.60606,25.45455,192.7273,109.0909,94.54546,38.78788,187.8788,177.5758,57.57576,203.6364,284.8485,318.1818,206.6667,84.84849,57.57576,346.0606,160.6061,161.2121,65.45454,300.606,260,167.2727
"55013","State Senate District 13 (2018), Wisconsin","ACSSF","wi","610","00","0012874",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,"013",,,,,,,,,,,,,,,"61000US55013","State Senate District 13 (2018)",,,,101944,98336,3608,77430,180696,180696,167056,2536,335,1839,39,2089,6802,180696,170416,161840,2470,243,1682,12,287,3882,10280,5216,66,92,157,27,1802,2920,38232,11492,9112,6252,2467,359,34,2380,609,587,22,1771,1390,381,26740,19112,15329,3008,650,125,7628,2367,2251,116,5261,4736,525,664.8485,500.606,441.2121,381.2121,296.3636,186.6667,30.30303,326.6667,238.7879,223.6364,81.21212,238.7879,232.7273,81.21212,551.5151,534.5455,479.394,279.394,84.84849,43.0303,491.5151,295.7576,286.0606,76.36364,440,419.394,106.0606
"55014","State Senate District 14 (2018), Wisconsin","ACSSF","wi","610","00","0012875",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,"014",,,,,,,,,,,,,,,"61000US55014","State Senate District 14 (2018)",,,,86743,84097,2646,64603,171438,171438,159893,2919,637,1179,29,1878,4903,171438,163696,155732,2784,483,1165,22,328,3182,7742,4161,135,154,14,7,1550,1721,33419,9144,6634,4255,1977,290,112,2510,957,917,40,1553,1331,222,24275,17597,13119,3596,713,169,6678,2142,1845,297,4536,3774,762,620,379.394,378.1818,380.606,220.6061,124.2424,2.424242,207.8788,81.21212,76.9697,33.93939,190.9091,149.697,143.0303,593.3333,580.6061,603.0303,337.5757,242.4242,38.18182,491.5151,292.7273,271.5151,101.2121,412.7273,371.5151,166.0606
"55015","State Senate District 15 (2018), Wisconsin","ACSSF","wi","610","00","0012876",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,"015",,,,,,,,,,,,,,,"61000US55015","State Senate District 15 (2018)",,,,93183,88973,4210,63234,175476,175476,150168,7515,461,2011,73,6717,8531,175476,159898,144639,7318,371,1973,61,305,5231,15578,5529,197,90,38,12,6412,3300,36770,12077,7605,4993,2211,305,96,4472,1181,1106,75,3291,2623,668,24693,16205,11934,3082,796,393,8488,1967,1786,181,6521,5567,954,711.5151,464.2424,472.7273,380,269.697,54.54546,13.33333,313.3333,224.8485,223.6364,22.42424,243.0303,241.8182,67.27273,624.8485,626.0606,630.9091,294.5454,270.9091,54.54546,467.2727,303.6364,303.0303,24.24242,396.9697,395.7576,113.3333
